label_subset,facet,level,mean_probe,std_probe,n,anova_F,anova_p,facet_range
honest,elicitation,instructed_deception,-7.044655653146597,0.06285971586739292,13,8.882803412591855,0.0005469412735750055,0.08497794181513019
honest,elicitation,instrumental_pressure,-7.064086437225342,0.0492647686017789,19,8.882803412591855,0.0005469412735750055,0.08497794181513019
honest,elicitation,role_based_social_dynamics,-7.129633594961727,0.06684309935974254,17,8.882803412591855,0.0005469412735750055,0.08497794181513019
honest,domain,accountability_explanation,-7.081791973114013,0.0622171557041654,15,0.05704926407099085,0.9446142571882532,0.00811161597569754
honest,domain,factual_qa,-7.077802101771037,0.0814172356163187,18,0.05704926407099085,0.9446142571882532,0.00811161597569754
honest,domain,reporting_evaluation,-7.085913717746735,0.06215248731216532,16,0.05704926407099085,0.9446142571882532,0.00811161597569754
deceptive,elicitation,instructed_deception,-6.864842695348403,0.08176939392446642,17,5.157498853232703,0.010431122215047238,0.1069878927722776
deceptive,elicitation,instrumental_pressure,-6.942537221041593,0.07672003802483003,11,5.157498853232703,0.010431122215047238,0.1069878927722776
deceptive,elicitation,role_based_social_dynamics,-6.971830588120681,0.1203845760707625,13,5.157498853232703,0.010431122215047238,0.1069878927722776
deceptive,domain,accountability_explanation,-6.879730129241944,0.08828938784141346,15,2.5255743751875004,0.09336372963151579,0.08364019393920863
deceptive,domain,factual_qa,-6.918408036231995,0.08674483441796682,12,2.5255743751875004,0.09336372963151579,0.08364019393920863
deceptive,domain,reporting_evaluation,-6.963370323181152,0.12069929036648426,14,2.5255743751875004,0.09336372963151579,0.08364019393920863
